id;title_uz;title_ru;title_kr;content_uz;content_ru;content_kr;korean_culture_t_ype
1;vortals;sky;Forward bandwidth;Zloty Handmade;infrastructures parse;Account Brand;INTRODUCE_KOREAN_CULTURE
2;Tunnel Multi-tiered Vatu;Berkshire Philippines Steel;deposit Hat;info-mediaries;Digitized;Corporate Frozen Consultant;ADDITIONAL_LESSON
3;District Music next-generation;discrete North Gloves;archive See applications;plum;online Card Light;firewall invoice;INTRODUCE_KOREAN_CULTURE
4;Antillian;Concrete harness Licensed;New Mills;Loan magenta;invoice;Dynamic Small mindshare;INTRODUCE_KOREAN_CULTURE
5;International grey;Port Intranet;maroon;Centers Home Mobility;e-enable payment Loan;Ways;INTRODUCE_KOREAN_CULTURE
6;generate Indiana innovate;indexing Granite Research;Implementation Fresh;Cambridgeshire Designer;haptic primary Cloned;functionalities quantify Paradigm;INTRODUCE_KOREAN_CULTURE
7;See azure index;generating empowering bus;navigate vortals Bike;deposit Pizza;red Pine;matrix calculating;ADDITIONAL_LESSON
8;bluetooth;Quetzal;SAS;Kids Avon pixel;Pants payment Supervisor;matrix violet Shirt;ADDITIONAL_LESSON
9;Automated Implemented;Associate Quality;indexing;Salad Serbia tan;Account 24/7;Direct;INTRODUCE_KOREAN_CULTURE
10;whiteboard Mobility synthesize;Product state;Quality-focused;Unbranded Managed Cotton;Grocery structure sensor;intangible SDD;ADDITIONAL_LESSON
